Example Case,Frequency Grid,Loewner Total Time,Random Total Time,Direct Grid Time,PSSFSS Fast Time,Loewner Samples,Random Samples,PSSFSS Fast Samples,Loewner Max Relerr,Loewner Med Relerr,Random Max Relerr,Random Med Relerr,PSSFSS Fast Maxerr,PSSFSS Fast Mederr
Loaded Cross Band-Pass Filter,191,8.73,7.333,72.11,12.704,18,16,28,1.863e-6,3.335e-7,3.438e-8,3.364e-9,4.781e-7,3.098e-8
Meander/Strip Cpss,101,5.357,4.16,32.82,5.6,11,9,13,3.737e-7,1.438e-7,2.028e-7,1.132e-8,4.623e-7,1.038e-7
Meanderline Cpss,101,3.891,2.798,20.085,4.301,11,9,14,9.25e-7,2.576e-7,9.154e-10,1.729e-10,4.443e-6,1.573e-8
Cross Substrate Epsr=4.0,301,1.248,1.026,15.184,1.525,12,10,18,6.735e-6,6.414e-7,1.697e-6,2.224e-8,2.04e-6,4.903e-9
Flexible Absorber,196,14.496,40.75,348.697,51.461,8,24,32,0.2286,0.1332,0.0004019,6.605e-6,3.722e-5,3.27e-7
Jerusalem Cross Wang-Werner,381,39.476,77.605,198.948,52.931,67,69,86,0.00127,5.071e-6,0.00141,2.672e-6,2.113e-5,6.131e-7
Resistive Square Patch R=30.0 Ohm,119,1.683,2.525,2.385,1.211,42,36,38,0.02073,2.965e-7,0.02056,7.784e-8,8.258e-6,2.057e-7
Split-Ring Resonator,651,1.911,3.002,31.985,2.603,23,22,30,0.0001759,1.873e-6,1.682e-5,4.647e-7,4.337e-5,1.823e-7
Square Loop Absorber Thin,121,1.902,1.697,16.178,2.127,9,10,13,0.0002469,2.147e-5,1.425e-6,4.095e-8,7.975e-7,3.563e-8
Symmetric Strip Grating,49,1.395,1.47,5.689,1.996,8,9,14,0.0001991,6.476e-5,1.136e-6,1.138e-7,9.884e-8,7.636e-9
