Example Case,Frequency Grid,Loewner Total Time,Random Total Time,Direct Grid Time,PSSFSS Fast Time,Loewner Samples,Random Samples,PSSFSS Fast Samples,Loewner Max Relerr,Loewner Med Relerr,Random Max Relerr,Random Med Relerr,PSSFSS Fast Maxerr,PSSFSS Fast Mederr
Loaded Cross Band-Pass Filter,191,8.965,7.582,77.238,14.019,18,16,28,1.863e-6,3.335e-7,8.782e-8,1.273e-9,4.781e-7,3.098e-8
Meander/Strip Cpss,101,5.411,4.152,32.499,6.815,11,9,13,3.737e-7,1.438e-7,2.028e-7,1.132e-8,4.623e-7,1.038e-7
Meanderline Cpss,101,3.98,2.997,20.437,4.169,11,9,14,9.25e-7,2.576e-7,9.154e-10,1.729e-10,4.443e-6,1.573e-8
Cross Substrate Epsr=4.0,301,1.335,1.019,16.287,1.398,12,10,18,6.735e-6,6.414e-7,1.697e-6,2.224e-8,2.04e-6,4.903e-9
Flexible Absorber,196,14.028,38.653,310.57,51.457,8,24,32,0.2286,0.1332,0.0004019,6.605e-6,3.722e-5,3.27e-7
Jerusalem Cross Wang-Werner,381,39.651,77.462,191.521,51.172,67,69,86,0.00127,5.071e-6,0.00141,2.672e-6,2.113e-5,6.131e-7
Resistive Square Patch R=30.0 Ohm,119,1.716,2.56,2.35,1.193,42,36,38,0.02073,2.965e-7,0.02056,7.784e-8,8.258e-6,2.057e-7
Split-Ring Resonator,651,2.015,2.896,31.711,2.628,23,22,30,0.0001759,1.873e-6,1.682e-5,4.647e-7,4.337e-5,1.823e-7
Square Loop Absorber Thin,121,2.012,1.782,16.147,2.047,9,10,13,0.0002469,2.147e-5,1.425e-6,4.095e-8,7.975e-7,3.563e-8
Symmetric Strip Grating,49,1.348,1.442,5.648,1.908,8,9,14,0.0001991,6.476e-5,1.136e-6,1.138e-7,9.884e-8,7.636e-9
