Example Case,Frequency Grid,Loewner Total Time,Random Total Time,Direct Grid Time,PSSFSS Fast Time,Loewner Samples,Random Samples,PSSFSS Fast Samples,Loewner Max Relerr,Loewner Med Relerr,Random Max Relerr,Random Med Relerr,PSSFSS Fast Maxerr,PSSFSS Fast Mederr
Loaded Cross Band-Pass Filter,191,8.692,8.339,80.804,14.153,18,18,28,1.863e-6,3.335e-7,4.734e-7,2.559e-8,4.781e-7,3.098e-8
Meander/Strip Cpss,101,5.066,4.302,32.346,5.553,11,10,13,3.737e-7,1.438e-7,2.072e-7,3.004e-8,4.623e-7,1.038e-7
Meanderline Cpss,101,3.9,3.097,20.522,4.035,11,10,14,9.25e-7,2.576e-7,8.013e-8,1.106e-8,4.443e-6,1.573e-8
Cross Substrate Epsr=4.0,301,1.315,0.973,15.794,1.457,12,11,18,6.735e-6,6.414e-7,1.9e-6,1.875e-8,2.04e-6,4.903e-9
Flexible Absorber,196,14.953,40.531,307.781,51.471,9,26,32,0.1944,0.1001,0.0007324,6.289e-6,3.722e-5,3.27e-7
Jerusalem Cross Wang-Werner,381,43.406,59.98,197.509,52.061,73,71,86,0.001498,4.225e-6,0.001349,5.023e-6,2.113e-5,6.131e-7
Resistive Square Patch R=30.0 Ohm,119,1.534,1.293,2.344,1.115,42,39,38,0.02073,2.965e-7,0.02082,2.078e-7,8.258e-6,2.057e-7
Split-Ring Resonator,651,2.007,1.724,32.183,2.302,23,24,30,0.0001759,1.873e-6,6.296e-5,4.056e-7,4.337e-5,1.823e-7
Square Loop Absorber Thin,121,1.871,1.861,16.135,2.157,9,10,13,0.0002469,2.147e-5,1.305e-6,4.053e-8,7.975e-7,3.563e-8
Symmetric Strip Grating,49,1.509,1.337,5.516,1.866,9,9,14,0.0001338,4.216e-5,4.095e-5,6.783e-8,9.884e-8,7.636e-9
